종목코드,섹터코드,섹터명
001680,CS,필수소비재
001790,CS,필수소비재
001800,CS,필수소비재
002140,CS,필수소비재
002600,CS,필수소비재
002680,CS,필수소비재
002790,CS,필수소비재
003230,CS,필수소비재
003310,CS,필수소비재
003350,CS,필수소비재
003380,CS,필수소비재
003680,CS,필수소비재
003920,CS,필수소비재
003960,CS,필수소비재
004370,CS,필수소비재
004410,CS,필수소비재
004540,CS,필수소비재
004970,CS,필수소비재
005180,CS,필수소비재
005300,CS,필수소비재
005610,CS,필수소비재
005670,CS,필수소비재
005740,CS,필수소비재
005860,CS,필수소비재
005990,CS,필수소비재
006040,CS,필수소비재
006090,CS,필수소비재
006880,CS,필수소비재
006980,CS,필수소비재
007070,CS,필수소비재
007160,CS,필수소비재
007310,CS,필수소비재
007540,CS,필수소비재
008040,CS,필수소비재
011150,CS,필수소비재
012690,CS,필수소비재
014100,CS,필수소비재
014710,CS,필수소비재
016100,CS,필수소비재
016790,CS,필수소비재
017810,CS,필수소비재
018120,CS,필수소비재
018250,CS,필수소비재
023150,CS,필수소비재
023900,CS,필수소비재
024720,CS,필수소비재
025620,CS,필수소비재
025870,CS,필수소비재
025880,CS,필수소비재
026960,CS,필수소비재
027050,CS,필수소비재
027710,CS,필수소비재
027740,CS,필수소비재
030720,CS,필수소비재
033780,CS,필수소비재
033920,CS,필수소비재
035810,CS,필수소비재
036580,CS,필수소비재
043650,CS,필수소비재
044480,CS,필수소비재
044820,CS,필수소비재
048410,CS,필수소비재
049770,CS,필수소비재
051500,CS,필수소비재
051900,CS,필수소비재
052260,CS,필수소비재
054050,CS,필수소비재
060280,CS,필수소비재
065170,CS,필수소비재
065950,CS,필수소비재
066360,CS,필수소비재
072710,CS,필수소비재
073560,CS,필수소비재
078520,CS,필수소비재
083660,CS,필수소비재
084690,CS,필수소비재
088910,CS,필수소비재
090430,CS,필수소비재
092730,CS,필수소비재
097950,CS,필수소비재
101530,CS,필수소비재
103840,CS,필수소비재
123330,CS,필수소비재
123690,CS,필수소비재
136480,CS,필수소비재
136490,CS,필수소비재
139480,CS,필수소비재
145990,CS,필수소비재
154030,CS,필수소비재
161890,CS,필수소비재
175250,CS,필수소비재
188040,CS,필수소비재
189980,CS,필수소비재
192820,CS,필수소비재
194700,CS,필수소비재
195500,CS,필수소비재
200130,CS,필수소비재
208140,CS,필수소비재
214260,CS,필수소비재
214420,CS,필수소비재
217480,CS,필수소비재
218150,CS,필수소비재
222040,CS,필수소비재
222980,CS,필수소비재
225430,CS,필수소비재
226320,CS,필수소비재
226340,CS,필수소비재
227610,CS,필수소비재
227840,CS,필수소비재
234690,CS,필수소비재
237880,CS,필수소비재
238200,CS,필수소비재
239610,CS,필수소비재
241710,CS,필수소비재
248170,CS,필수소비재
250000,CS,필수소비재
252500,CS,필수소비재
260930,CS,필수소비재
263920,CS,필수소비재
264900,CS,필수소비재
267980,CS,필수소비재
270870,CS,필수소비재
271560,CS,필수소비재
276730,CS,필수소비재
277410,CS,필수소비재
280360,CS,필수소비재
282330,CS,필수소비재
290720,CS,필수소비재
311390,CS,필수소비재
317240,CS,필수소비재
318010,CS,필수소비재
344860,CS,필수소비재
352480,CS,필수소비재
353190,CS,필수소비재
353810,CS,필수소비재
357230,CS,필수소비재
368970,CS,필수소비재
377220,CS,필수소비재
403490,CS,필수소비재
435570,CS,필수소비재
439090,CS,필수소비재
453340,CS,필수소비재
000020,He,헬스케어
000100,He,헬스케어
000220,He,헬스케어
000230,He,헬스케어
000250,He,헬스케어
000520,He,헬스케어
000640,He,헬스케어
001060,He,헬스케어
001360,He,헬스케어
001540,He,헬스케어
001630,He,헬스케어
002210,He,헬스케어
002390,He,헬스케어
002620,He,헬스케어
002630,He,헬스케어
002720,He,헬스케어
002800,He,헬스케어
003000,He,헬스케어
003060,He,헬스케어
003090,He,헬스케어
003120,He,헬스케어
003220,He,헬스케어
003520,He,헬스케어
003850,He,헬스케어
004080,He,헬스케어
004310,He,헬스케어
004720,He,헬스케어
005250,He,헬스케어
005500,He,헬스케어
005690,He,헬스케어
006280,He,헬스케어
006620,He,헬스케어
007370,He,헬스케어
007390,He,헬스케어
007570,He,헬스케어
008490,He,헬스케어
008930,He,헬스케어
009290,He,헬스케어
009300,He,헬스케어
009420,He,헬스케어
011000,He,헬스케어
011040,He,헬스케어
012790,He,헬스케어
014570,He,헬스케어
016580,He,헬스케어
017180,He,헬스케어
018620,He,헬스케어
018680,He,헬스케어
019170,He,헬스케어
023910,He,헬스케어
028300,He,헬스케어
032300,He,헬스케어
032620,He,헬스케어
032850,He,헬스케어
032940,He,헬스케어
033270,He,헬스케어
034940,He,헬스케어
035610,He,헬스케어
036180,He,헬스케어
036220,He,헬스케어
036480,He,헬스케어
038070,He,헬스케어
038290,He,헬스케어
039200,He,헬스케어
039840,He,헬스케어
039860,He,헬스케어
041830,He,헬스케어
041910,He,헬스케어
041920,He,헬스케어
041960,He,헬스케어
042520,He,헬스케어
043090,He,헬스케어
043100,He,헬스케어
043150,He,헬스케어
043710,He,헬스케어
044960,He,헬스케어
046210,He,헬스케어
047920,He,헬스케어
048530,He,헬스케어
048870,He,헬스케어
049180,He,헬스케어
049960,He,헬스케어
052670,He,헬스케어
053030,He,헬스케어
053950,He,헬스케어
054670,He,헬스케어
056090,He,헬스케어
058110,He,헬스케어
058820,He,헬스케어
059210,He,헬스케어
060590,He,헬스케어
061250,He,헬스케어
063160,He,헬스케어
064550,He,헬스케어
065510,He,헬스케어
065660,He,헬스케어
066700,He,헬스케어
067080,He,헬스케어
067290,He,헬스케어
067370,He,헬스케어
067630,He,헬스케어
068270,He,헬스케어
068760,He,헬스케어
069620,He,헬스케어
071200,He,헬스케어
072020,He,헬스케어
078160,He,헬스케어
080720,He,헬스케어
083550,He,헬스케어
